type,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,ph,sulphates,alcohol,density,quality_grade
red,7.44,0.371,0.477,3.56,0.0918,3.16,0.474,10.67,0.9945,Medium
white,6.63,0.364,0.185,7.82,0.0418,3.103,0.805,9.68,0.99665,Medium
white,7.12,0.392,0.319,5.59,0.0285,3.111,0.417,10.61,0.99683,Medium
white,5.8,0.43,0.452,13.67,0.0327,3.151,0.361,8.0,0.99759,Low
white,7.36,0.39,0.446,7.06,0.0567,3.155,0.733,10.37,0.99743,High
red,10.17,0.573,0.26,6.39,0.0787,3.126,0.749,11.55,0.99661,Medium
white,6.46,0.242,0.377,10.07,0.0604,3.148,0.508,11.03,0.99599,High
red,8.83,0.51,0.361,9.52,0.0813,3.379,0.636,10.71,0.99572,Medium
white,3.98,0.189,0.245,9.33,0.0645,,0.579,11.08,0.99401,High
white,6.96,0.14,0.384,8.39,0.0555,2.938,0.546,11.56,0.99639,High
red,8.06,0.594,0.533,8.98,0.0924,3.381,0.434,11.9,0.99715,Medium
red,7.5,0.445,0.367,6.81,0.0487,3.171,0.292,10.87,0.99789,Medium
white,8.19,0.427,0.378,7.99,0.0315,3.142,0.429,10.07,0.99682,Medium
white,6.64,0.451,0.391,13.94,0.0445,3.183,0.748,8.0,0.99788,Low
red,8.2,0.458,0.135,7.1,0.0962,,0.813,11.43,0.99653,Medium
white,6.59,0.399,0.365,6.15,0.0782,3.121,0.499,10.94,0.9961,Medium
white,4.89,0.274,0.188,15.05,0.0475,3.276,0.415,10.56,0.99699,Medium
white,5.75,0.155,0.239,7.25,0.0408,3.056,0.563,9.68,0.99762,Medium
white,8.06,0.352,0.569,12.7,0.0207,3.155,0.583,11.41,0.99587,High
red,6.08,0.473,0.28,2.68,0.093,2.868,0.662,10.13,0.99787,Medium
white,6.16,0.296,0.221,12.15,0.0417,3.376,0.227,10.36,0.9977,Medium
red,7.96,0.718,0.448,3.02,0.1244,3.174,0.969,10.34,0.99628,Low
white,8.92,0.187,0.196,9.25,0.0389,3.301,0.666,10.87,0.99545,High
red,9.25,0.558,0.256,6.99,0.1116,3.271,0.566,9.19,0.99554,Low
white,6.39,0.241,0.46,8.05,0.0612,3.282,0.444,10.99,0.99586,High
red,9.83,0.611,0.315,5.51,0.0646,3.199,0.708,9.64,0.9964,Low
red,7.59,0.55,0.123,3.28,0.0835,3.258,0.649,9.68,0.99773,Low
white,8.11,0.378,0.375,11.64,0.0616,3.056,0.541,11.33,0.99556,High
white,5.51,0.246,0.262,9.42,0.0466,3.024,,9.36,0.99743,Medium
white,8.18,0.263,0.495,,0.0626,3.185,0.516,11.33,0.99659,High
white,6.55,0.433,0.237,9.54,0.0622,3.098,0.578,10.51,0.99696,Medium
white,5.87,0.517,0.436,9.65,0.0589,3.414,0.617,8.67,0.99815,Low
white,6.76,0.388,0.523,8.85,0.0498,3.256,0.571,11.83,0.99693,High
red,8.71,0.43,0.208,2.04,0.0624,3.093,0.625,10.73,0.99707,Medium
white,6.46,0.374,0.287,7.7,0.0488,3.159,0.697,10.81,0.99596,High
white,7.61,0.583,0.357,11.57,0.0526,,0.338,11.46,0.99541,Medium
red,7.76,0.53,0.207,7.2,0.0519,3.19,0.494,11.97,0.996,Medium
red,9.08,0.666,0.342,7.09,0.0825,3.241,0.593,10.61,0.99669,Low
,7.49,0.266,0.283,9.39,0.0485,3.21,0.442,11.05,0.99511,High
white,6.93,0.336,0.281,12.11,0.0306,2.991,0.482,10.79,0.99715,High
white,6.51,0.402,0.316,7.24,0.045,2.877,0.685,10.04,0.99816,Medium
white,7.17,0.38,0.319,6.85,0.0453,3.144,0.512,8.74,0.99926,Medium
white,7.61,0.263,0.33,16.76,0.079,3.284,0.31,10.63,0.99788,Medium
red,10.67,0.439,0.238,3.84,0.0833,3.146,0.539,11.85,0.99726,Medium
red,9.43,0.619,0.243,2.9,0.0955,3.385,0.597,11.01,0.99771,Low
red,9.47,0.639,0.296,4.8,0.0782,3.193,0.595,9.28,0.99801,Low
red,11.8,0.671,0.305,5.76,0.0519,3.404,0.657,11.55,0.99548,Medium
white,7.57,0.52,0.257,12.14,0.0601,3.373,0.587,10.08,0.99534,Medium
white,7.53,0.353,0.349,7.71,0.0401,3.358,0.513,8.2,0.99869,Low
red,9.17,0.489,0.092,4.49,0.075,3.019,0.447,11.47,0.9962,Medium
red,7.29,0.655,0.222,5.49,0.0642,3.203,0.537,9.41,0.99763,Low
white,6.51,0.411,0.276,7.34,0.0511,3.383,0.455,12.27,0.99332,High
red,7.84,0.422,0.207,2.69,0.096,3.241,0.556,11.61,0.99535,Medium
white,7.71,0.237,0.506,6.19,0.064,3.283,0.613,10.16,0.9975,High
white,6.81,0.389,0.312,13.49,0.0738,2.992,0.578,10.88,0.99534,Medium
white,7.15,0.322,0.331,11.11,0.0759,3.488,0.629,12.95,0.99455,High
red,9.6,0.517,0.252,5.39,0.0493,,0.544,11.45,0.99614,Medium
white,7.95,0.447,0.308,10.39,0.0321,2.901,0.711,10.65,0.99748,High
red,8.22,0.596,0.164,8.04,0.0529,3.147,,13.43,0.99551,High
white,6.26,0.473,0.29,7.14,0.0595,2.833,0.543,10.52,0.99625,Medium
red,9.65,0.327,0.198,3.27,0.0696,3.037,0.662,11.01,0.99632,Medium
white,7.85,0.365,0.277,12.9,0.0427,3.584,0.449,9.42,0.99778,Low
white,5.23,0.409,0.003,5.33,0.0468,3.143,0.277,8.64,0.99887,Low
red,8.06,0.367,0.175,7.25,0.0857,2.986,0.517,10.1,0.99745,Low
red,8.58,0.455,0.486,6.0,0.0577,3.204,0.68,10.44,0.99795,Medium
red,9.26,0.436,0.41,9.17,0.0611,3.065,0.6,10.75,0.99429,Medium
red,9.4,0.522,0.468,7.4,0.08,3.33,0.574,8.91,0.99842,Low
red,8.71,0.683,0.477,7.17,0.098,3.067,0.488,11.09,0.99652,Low
white,7.64,0.542,0.391,6.61,0.0496,3.241,0.295,9.53,0.99727,Low
red,8.47,0.439,0.256,8.21,0.0681,3.028,0.761,11.04,0.99409,High
white,6.26,0.393,0.186,9.98,0.0178,,0.505,11.38,0.99576,High
white,6.71,0.396,0.448,6.81,0.0643,3.276,0.478,9.98,0.99644,Low
red,8.42,0.559,0.318,6.03,0.069,3.178,0.509,9.39,0.99912,Low
white,6.96,0.38,0.609,6.31,0.0328,3.156,0.681,12.02,0.99558,High
white,4.93,0.37,0.266,8.21,0.0243,3.117,0.636,11.32,0.99516,High
white,6.56,0.509,0.547,19.99,0.0284,3.086,0.414,10.56,0.99471,High
red,8.46,0.63,0.291,3.33,0.0656,3.082,0.73,11.94,0.99585,Medium
red,8.09,0.414,0.47,2.68,0.0764,3.452,0.573,10.49,0.99725,Medium
red,8.13,0.6,0.514,3.01,0.0619,3.117,0.517,9.75,0.99709,Low
white,7.54,0.429,0.187,8.17,0.0528,2.881,0.495,9.35,0.99819,Low
white,5.81,0.371,0.252,10.89,0.0463,3.025,0.436,10.29,0.99649,Medium
white,5.21,0.453,0.186,8.77,0.0833,3.339,0.371,11.21,0.99693,Medium
red,8.02,0.539,0.162,2.82,0.0544,3.162,0.683,11.86,0.99628,High
white,7.84,0.36,0.39,10.84,0.0524,3.18,0.504,10.42,0.99521,Medium
red,10.26,0.532,0.286,2.31,0.0826,3.375,,11.67,0.9943,Medium
white,7.86,0.138,0.316,6.14,0.0345,3.083,0.564,10.18,0.99873,High
red,6.78,0.512,0.377,4.06,0.0814,3.295,0.656,9.58,0.99828,Low
white,6.74,0.273,0.087,12.71,0.0615,3.1,0.284,9.03,0.9968,Low
white,7.28,0.221,0.464,8.89,0.0514,3.286,0.426,9.87,0.99576,Medium
red,8.6,0.663,0.268,5.8,0.1008,3.141,0.658,9.07,0.99808,Low
red,8.99,0.57,0.374,2.84,0.0473,3.164,0.437,12.51,0.99377,Medium
white,5.99,0.337,0.384,,0.0374,3.323,0.575,10.86,0.996,High
red,8.47,0.464,0.474,8.75,0.1021,3.312,0.423,10.3,0.99675,Medium
white,7.46,0.37,0.297,9.75,0.0637,3.175,0.532,12.21,0.99499,High
white,7.91,0.439,0.055,10.99,0.0581,3.129,0.723,9.03,0.99895,Low
white,6.11,0.257,0.317,8.57,0.0685,3.44,0.623,10.26,0.99848,High
red,8.02,0.52,0.334,8.8,0.0513,3.288,0.368,12.5,0.99438,Medium
red,5.43,0.607,0.186,2.83,0.0919,3.141,0.692,10.25,0.99582,Low
red,7.72,0.326,0.328,4.91,0.096,3.102,0.809,12.97,0.99474,High
white,6.42,0.334,0.267,10.28,0.0401,3.354,0.866,11.22,0.99743,High
red,7.28,0.477,0.149,2.51,0.1194,3.217,0.647,11.77,0.9951,Low
red,8.58,0.507,0.391,1.95,0.0829,3.175,0.426,11.8,0.99621,Medium
red,8.34,0.47,0.242,13.57,0.0471,3.217,0.642,10.4,0.99595,Medium
white,4.51,0.354,0.261,8.93,0.0557,3.251,0.722,9.89,0.99718,Medium
red,8.64,0.712,0.254,2.43,0.0692,3.191,0.568,10.28,0.99576,Low
white,5.98,0.308,0.458,8.85,0.0675,3.381,0.655,9.36,0.99765,High
white,7.53,0.369,0.305,,0.0582,3.389,0.429,10.33,0.99666,Low
white,5.59,0.539,0.319,6.61,0.041,3.28,0.575,10.4,0.99725,Medium
white,7.03,0.285,0.257,,0.0725,,0.231,12.17,0.99671,High
white,6.69,0.521,0.366,7.3,0.0641,3.201,0.416,11.02,0.99579,Medium
white,7.33,0.341,0.472,7.29,0.0376,3.304,0.529,12.88,0.99267,High
red,8.54,0.698,0.388,2.92,0.0777,3.351,0.546,8.13,0.99856,Low
white,6.72,0.415,0.392,7.74,0.0578,3.353,0.374,9.12,0.99812,Low
white,5.31,0.371,0.383,9.12,0.0445,3.337,0.47,10.03,0.99721,High
white,5.38,0.333,0.144,7.3,0.045,3.295,0.57,11.97,0.99515,High
white,6.36,0.278,0.205,18.85,0.0506,3.494,0.52,10.28,0.99815,Medium
white,6.99,0.348,0.285,6.41,0.034,3.119,0.537,8.86,0.99821,Low
white,6.33,0.43,0.223,6.41,0.0165,3.177,0.618,10.14,0.99684,Medium
white,7.69,0.339,0.182,7.65,0.0536,3.168,0.489,9.14,0.99713,Low
white,6.69,0.308,0.085,17.77,0.0202,3.145,,8.94,0.99644,Low
red,7.34,0.495,0.148,7.86,0.0651,2.902,0.471,12.5,0.99511,Medium
red,8.09,0.619,0.279,4.04,0.0534,3.406,,10.03,0.99725,Medium
red,8.65,0.643,0.302,4.04,0.0553,3.046,0.724,10.58,0.99558,Medium
red,8.76,0.453,0.215,3.16,0.0864,3.225,0.547,10.3,0.99675,Low
red,10.47,0.453,0.319,4.38,0.0767,2.987,0.555,10.14,0.9968,Low
white,6.26,0.378,0.258,8.04,0.0461,3.293,0.555,9.52,0.99693,Medium
red,8.32,0.673,0.441,7.66,0.0603,3.082,0.662,10.07,0.99628,Low
white,7.47,0.455,0.291,10.0,0.0402,3.03,0.661,10.75,0.99675,High
white,6.97,0.215,0.394,7.51,0.0556,3.229,,11.89,0.99516,High
red,7.85,0.494,0.334,11.51,0.0792,3.095,0.642,11.39,0.99528,Medium
red,6.7,0.427,0.142,3.78,0.0923,3.114,0.336,9.12,0.99708,Low
red,7.84,0.493,0.299,2.66,0.0945,3.226,0.569,11.44,0.99565,Medium
white,5.82,0.5,0.162,9.27,0.0462,3.32,0.704,10.9,0.99708,Medium
red,6.5,0.378,0.297,9.29,0.0522,3.077,0.42,9.74,0.99748,Low
white,6.12,0.178,0.221,8.46,0.0387,3.051,0.338,10.59,0.99632,Medium
white,5.85,0.257,0.356,6.07,0.0485,3.204,0.556,11.0,0.99644,High
white,7.64,0.369,0.149,9.01,0.0384,3.281,0.696,10.45,0.99788,Medium
red,9.06,0.582,0.312,6.21,0.0642,3.419,0.629,10.9,0.99669,Medium
red,7.41,0.564,0.379,6.56,0.081,3.039,0.361,9.49,0.99775,Low
red,8.11,0.638,0.419,5.88,0.1165,3.152,0.388,12.49,0.99539,Medium
red,6.36,0.344,0.218,9.99,0.0727,3.376,0.602,8.37,0.99838,Low
red,7.86,0.639,0.312,3.13,0.08,,0.448,11.01,0.99632,Low
white,7.44,0.309,0.332,5.06,0.0303,3.051,0.546,10.79,0.99591,High
white,7.91,0.413,0.496,5.51,0.0687,3.089,0.554,11.08,0.99469,Medium
white,6.22,0.208,0.132,6.06,0.0631,3.257,0.471,9.66,0.99767,Medium
white,8.16,0.34,0.201,11.6,0.0621,3.113,0.748,11.63,0.99591,High
red,6.73,0.544,0.647,4.54,0.1004,3.086,0.661,10.29,0.99654,Medium
white,5.63,0.456,0.277,15.24,0.0436,3.237,0.675,9.15,0.99876,Low
white,7.78,0.181,0.083,6.24,0.0455,3.432,0.64,9.25,0.99709,Medium
white,8.84,0.343,0.24,15.1,0.0756,3.004,0.512,10.53,0.99499,Medium
white,7.54,0.231,0.0,6.63,0.0595,3.425,0.507,8.72,0.99758,Medium
red,8.36,0.571,0.339,4.84,0.0467,3.114,0.554,12.29,0.99361,High
red,5.99,0.598,0.407,2.44,0.0868,3.252,0.672,11.5,0.99601,Medium
red,6.18,0.649,0.201,11.0,0.0713,3.439,0.512,12.32,0.9943,Medium
red,8.54,0.466,0.254,5.18,0.0935,3.249,0.797,12.21,0.99596,Medium
white,6.61,0.433,0.421,19.26,0.0561,3.155,0.44,10.03,0.9979,Medium
red,7.18,0.656,0.1,9.53,0.0539,3.308,0.616,9.49,0.99669,Low
white,7.07,0.176,0.151,7.98,0.054,3.174,0.503,8.0,0.99813,Low
white,7.13,0.401,0.283,6.88,0.0532,3.278,0.476,9.97,0.99757,Medium
red,9.44,0.616,0.22,8.61,0.0855,3.169,0.851,12.25,0.99592,Medium
red,8.55,0.494,0.275,5.47,0.0886,3.329,0.537,9.53,0.99567,Low
white,8.35,0.219,0.158,6.79,0.0724,2.991,0.493,10.18,0.99715,Medium
white,7.01,0.434,0.336,8.88,0.0562,3.048,0.45,9.82,0.99524,Low
red,8.27,0.4,0.292,2.21,0.0803,2.989,0.595,10.79,0.99586,Medium
red,9.57,0.502,0.376,6.63,0.0972,3.192,0.578,11.75,0.99647,Medium
white,5.92,0.336,0.334,10.53,0.0836,2.971,0.396,8.78,1.00087,Low
red,11.5,0.592,0.335,2.99,0.0937,3.096,0.539,8.98,0.99776,Low
white,7.41,0.277,0.136,13.34,0.0531,3.034,0.603,11.96,0.99417,High
red,8.82,0.452,0.369,8.95,0.0865,3.422,0.713,11.17,0.99554,Medium
red,8.98,0.53,0.27,6.3,0.0838,3.051,0.593,10.13,0.997,Low
white,9.06,0.441,0.29,6.52,0.0503,3.007,0.537,12.19,0.99449,High
white,7.87,0.569,0.436,10.77,0.0825,3.237,0.487,8.97,0.99715,Low
white,5.23,0.189,0.224,7.61,0.0388,3.453,0.47,11.38,0.99543,Medium
red,9.94,0.552,0.472,5.95,0.0973,3.183,0.48,10.33,0.99712,Low
white,6.63,0.231,0.483,11.17,0.0481,3.194,0.343,11.04,0.99597,High
white,7.12,0.442,0.4,5.88,0.0278,3.394,0.446,8.0,0.99807,Low
white,5.59,0.246,0.192,5.61,0.0472,3.332,0.638,10.13,0.99634,Medium
red,8.98,0.453,0.048,4.2,0.0718,3.264,0.539,11.17,0.99563,Medium
red,7.68,0.461,0.439,14.47,0.0887,3.113,0.548,10.33,0.99586,Medium
white,7.11,0.332,0.323,19.66,0.0514,3.268,0.486,11.72,0.99488,High
red,8.09,0.552,0.221,6.55,0.0647,2.996,0.739,11.68,0.99613,Medium
white,9.12,0.388,0.451,12.29,0.0721,3.106,,9.39,0.9974,Medium
red,10.58,0.519,0.207,5.29,0.0964,3.415,0.623,11.27,0.99434,Medium
white,7.05,0.207,0.259,8.88,0.0738,3.395,0.522,9.36,0.99856,Low
white,7.07,0.413,0.373,8.04,0.0536,3.266,0.538,10.46,0.99702,High
white,6.59,0.335,0.176,12.92,0.0495,,0.559,11.09,0.99483,Medium
white,8.22,0.456,0.297,15.32,0.0606,3.019,0.537,9.52,0.99716,Low
red,8.04,0.449,0.441,5.61,0.0713,3.098,0.685,11.23,0.99524,High
white,6.54,0.18,0.335,8.87,0.052,3.174,0.526,9.87,0.99779,High
white,8.08,0.337,0.46,8.16,0.0474,3.012,0.739,9.79,0.99691,High
white,6.41,0.47,0.446,15.5,0.0281,3.163,0.535,11.14,0.99597,High
red,8.36,0.536,0.311,8.46,0.0819,3.465,0.386,9.52,0.99732,Low
white,5.26,0.32,0.03,6.48,0.0434,3.26,0.607,9.47,0.9962,Low
white,7.77,0.253,0.177,17.41,0.0464,3.233,0.577,11.49,0.99698,High
white,9.13,0.516,0.402,5.22,0.0555,3.047,0.534,10.51,0.9972,Medium
red,9.19,0.417,0.124,11.59,0.0991,2.954,0.559,8.87,0.9974,Low
white,8.61,0.267,0.271,12.48,0.0373,,0.276,11.3,0.99606,Medium
white,6.07,0.397,0.351,8.82,0.045,2.948,0.296,9.97,0.99796,Low
white,7.26,0.154,0.486,,0.0385,3.211,0.728,8.93,0.99807,High
red,7.36,0.647,0.241,5.1,0.0675,3.258,0.52,8.0,1.00026,Low
red,8.15,0.582,0.233,3.35,0.0711,3.055,,11.35,0.99847,High
white,7.85,0.43,0.304,16.76,0.0471,3.222,0.338,9.5,0.9974,Low
white,7.11,0.396,0.352,8.66,0.0588,3.42,0.404,9.09,0.99735,Low
white,5.45,0.324,0.291,6.53,0.0548,3.494,0.611,11.07,0.99521,High
white,5.55,0.234,0.436,16.28,0.0341,3.316,0.518,11.25,0.99394,High
red,6.88,0.506,0.214,6.95,0.0994,3.174,0.655,9.57,0.99857,Low
white,7.54,0.242,0.324,10.38,0.0642,3.311,0.528,11.36,0.99552,High
red,10.67,0.569,0.363,14.82,0.0665,3.403,0.565,12.56,0.99554,Medium
red,9.9,0.601,0.262,7.73,0.0984,2.899,0.508,11.81,0.9964,Medium
white,4.91,0.488,0.411,7.15,0.0549,3.422,0.387,11.65,0.9946,Medium
white,8.56,0.377,0.328,10.92,0.0477,3.118,0.698,10.73,0.99557,High
white,8.03,0.432,0.405,6.69,0.0554,3.12,0.718,9.93,0.99869,Medium
red,6.7,0.49,0.333,4.32,0.0796,3.147,0.465,10.34,0.99669,Medium
red,8.07,0.472,0.355,6.43,0.0882,3.248,0.458,10.86,0.99569,Low
white,8.21,0.387,0.234,12.21,0.0528,3.033,0.488,9.08,0.99695,Low
red,9.01,0.481,0.234,4.06,0.0749,3.157,0.631,9.59,0.9973,Medium
red,6.96,0.547,0.457,5.02,0.0496,3.279,0.568,8.9,0.99941,Medium
red,9.07,0.414,0.386,4.99,0.0879,3.233,0.65,10.65,0.99709,Medium
white,4.65,0.252,0.187,13.1,0.0444,3.257,0.524,10.49,0.99678,High
white,6.75,0.404,0.332,8.74,0.0617,3.151,0.516,9.71,0.99875,Medium
white,8.25,0.429,0.025,17.3,0.0572,3.304,0.82,11.26,0.99718,Medium
white,7.02,0.241,0.241,7.52,0.0448,3.358,0.467,9.3,0.99799,Medium
red,7.85,0.587,0.425,4.15,0.0953,3.349,0.787,9.68,0.99985,Low
red,9.38,0.467,0.295,11.47,0.0831,3.264,0.764,11.22,0.99574,High
white,8.07,0.342,0.324,10.58,0.0525,3.341,0.59,11.38,0.99681,Medium
red,9.84,0.662,0.0,11.23,0.0779,3.331,0.359,9.56,0.9971,Low
red,9.36,0.601,0.263,,0.1053,3.601,0.594,10.64,0.9973,Low
red,9.59,0.6,0.351,5.47,0.0693,3.383,0.528,9.58,0.99721,Low
red,9.21,0.711,0.366,6.43,0.0752,3.187,0.592,10.19,0.9973,Low
white,7.29,0.27,0.425,9.39,0.0314,3.063,,10.55,0.99872,High
white,7.1,0.241,0.285,8.26,0.0609,3.161,0.621,10.99,0.99703,High
red,8.14,0.448,0.29,6.12,0.0713,3.15,0.708,10.73,0.99683,Medium
white,5.67,0.315,0.15,9.49,0.0429,3.277,0.67,10.69,0.99574,Medium
white,5.95,0.105,0.285,7.29,0.0422,3.095,0.484,9.27,0.99789,Medium
white,6.69,0.319,0.159,12.88,0.0509,3.379,0.403,10.81,0.99542,Medium
white,7.27,0.286,0.088,16.37,0.0312,2.992,0.572,10.98,0.99698,High
red,9.98,0.598,0.18,8.09,0.0464,2.955,0.801,11.12,0.99683,Medium
white,6.95,0.375,0.491,10.03,0.0569,3.18,0.538,9.64,0.99722,Medium
red,9.5,0.46,0.278,5.29,0.0483,3.074,0.644,11.36,0.99733,Medium
red,9.59,0.579,0.336,6.4,0.0928,3.011,0.562,9.02,0.99931,Low
red,8.15,0.592,0.248,6.75,0.1034,3.104,0.53,9.95,0.99724,Low
white,7.65,0.263,0.095,6.56,0.0475,3.086,0.609,10.11,0.99747,Medium
red,8.13,0.471,0.422,9.41,0.0995,3.202,0.577,9.07,0.99737,Low
red,9.85,0.297,0.049,4.46,0.0796,3.107,0.638,10.09,0.99673,Low
white,7.7,0.231,0.243,15.02,0.074,3.119,0.591,10.63,0.99552,Medium
red,7.09,0.446,0.303,6.01,0.0732,3.199,0.632,8.48,0.998,Low
red,8.58,0.527,0.338,9.5,0.0445,3.352,0.657,9.99,0.99698,Medium
red,10.21,0.425,0.223,8.02,0.0788,3.421,0.488,8.56,0.99686,Low
red,8.2,0.469,0.089,2.97,0.1056,3.222,0.48,12.54,0.99529,Low
red,8.89,0.397,0.214,11.22,0.088,3.234,0.585,10.62,0.99742,Medium
red,9.0,0.537,0.22,3.76,0.0723,3.173,0.588,10.53,0.99658,Low
red,7.26,0.563,0.217,4.32,0.0849,3.272,0.527,10.64,0.99406,Low
white,7.56,0.38,0.426,7.71,0.0646,3.259,0.559,11.03,0.99591,High
white,5.47,0.341,0.164,5.77,0.0487,3.399,0.639,11.43,0.99452,High
white,6.31,0.186,0.346,9.36,0.0894,2.917,0.673,8.76,0.99763,Medium
white,8.18,0.278,0.329,13.04,0.0422,3.165,0.699,11.78,0.99676,High
white,7.39,0.299,0.425,14.86,0.065,3.251,,11.71,0.99333,High
white,6.67,0.3,0.294,8.26,0.0614,3.196,0.39,10.33,0.99603,Medium
white,7.49,0.347,0.405,8.72,0.0395,3.059,0.495,10.28,0.99755,Medium
white,6.93,0.483,0.289,11.53,0.0436,3.005,0.54,8.0,0.99823,Low
white,7.01,0.421,0.362,8.33,0.0653,3.321,0.501,9.09,0.99718,Low
white,7.72,0.241,0.13,13.54,0.0522,3.086,0.464,10.94,0.99804,Medium
white,6.2,0.408,0.0,8.58,0.0551,2.937,,11.66,0.99591,Medium
red,8.44,0.584,0.355,3.53,0.0555,3.328,0.648,11.17,0.99685,Medium
red,8.06,0.439,0.362,6.25,0.0898,3.269,0.43,10.32,0.99722,Low
white,5.26,0.425,0.367,5.94,0.0543,3.183,0.811,12.42,0.99503,High
white,5.99,0.324,0.247,9.4,0.049,3.063,0.533,11.46,0.99688,High
red,10.13,0.379,0.489,6.84,0.0854,3.183,0.716,9.99,0.99878,High
white,7.42,0.386,0.255,6.97,0.0439,3.382,0.46,12.69,0.99312,High
white,5.54,0.362,0.361,9.9,0.0411,,0.599,9.25,0.9977,Medium
white,5.31,0.317,0.381,8.02,0.0464,2.965,,8.85,0.99806,Medium
red,8.28,0.516,0.516,3.7,0.073,3.106,0.693,9.96,0.99671,Medium
red,10.12,0.448,0.272,2.6,0.1127,3.196,0.566,9.6,0.9983,Low
white,6.79,0.401,0.232,6.05,0.0637,,0.716,10.02,0.99727,High
white,8.44,0.336,0.13,15.72,0.0355,3.296,0.351,11.24,0.99768,Medium
white,7.39,0.357,0.496,7.92,0.0805,3.363,0.644,10.36,0.99773,High
white,7.52,0.376,0.361,9.95,0.0435,3.242,0.544,10.39,0.99794,High
white,5.53,0.225,0.364,8.24,0.0504,3.284,0.408,10.46,0.99557,High
red,9.43,0.431,0.684,12.7,0.0935,3.241,0.824,8.0,0.99813,Medium
red,8.03,0.299,0.349,3.71,0.0505,3.201,0.812,8.81,0.99748,Medium
red,9.35,0.576,0.154,5.77,0.0764,3.006,0.341,10.0,0.99825,Low
white,6.1,0.219,0.286,7.5,0.0414,3.046,0.551,9.51,0.99663,High
white,7.19,0.353,0.193,12.64,0.0531,2.997,0.615,10.16,0.99607,Medium
red,8.79,0.557,0.262,6.71,0.0856,3.178,,11.87,0.99437,Medium
white,6.83,0.4,0.262,8.86,0.0488,3.235,0.712,10.32,0.99925,High
red,8.84,0.4,0.24,3.0,0.0781,2.983,0.747,9.01,0.99782,Low
red,8.11,0.513,0.143,16.01,0.096,3.211,0.622,9.57,0.99792,Low
red,7.69,0.687,0.501,5.11,0.0845,3.069,0.863,12.2,0.99405,High
red,10.17,0.691,0.346,3.43,0.0806,3.04,0.702,12.01,0.99611,High
white,8.15,0.439,0.283,5.81,0.0522,3.106,0.488,11.03,0.99454,Medium
red,7.56,0.554,0.401,2.82,0.1075,3.032,0.524,8.76,0.99729,Low
white,7.63,0.239,0.367,8.83,0.0526,3.291,0.679,10.72,0.99575,High
white,6.18,0.412,0.343,59.74,0.0423,3.175,0.435,10.8,0.99654,Medium
red,7.1,0.504,0.392,6.48,0.0514,3.322,0.541,10.43,0.99596,Medium
red,9.54,0.576,0.326,2.66,0.0585,3.133,0.561,9.8,0.99861,Low
white,5.13,0.277,0.39,8.82,0.043,3.139,0.573,10.02,0.99749,High
red,9.42,0.503,0.4,11.17,0.0784,3.481,0.567,9.73,0.99668,Low
white,6.72,0.356,0.33,7.84,0.0417,2.957,0.372,9.2,0.99868,Low
red,8.17,0.545,0.284,6.49,0.0853,3.393,0.729,11.83,0.99506,Medium
white,7.45,0.389,0.494,54.08,0.0415,3.448,0.481,11.33,0.99533,High
white,7.64,0.282,0.253,10.47,0.0363,3.315,0.772,10.1,0.99778,High
red,7.49,0.386,0.357,3.68,0.0892,3.15,0.626,10.77,0.99416,High
red,9.19,0.682,0.36,1.84,0.1005,3.414,0.742,10.81,0.99699,Medium
white,7.12,0.589,0.237,6.27,0.0334,,0.606,12.86,0.99384,High
red,7.02,0.565,0.213,4.35,0.0837,3.094,0.748,11.32,0.99523,Medium
red,8.21,0.388,0.268,5.33,0.0514,3.142,0.658,11.28,0.99767,High
red,9.92,0.443,0.251,4.44,0.0579,3.114,0.618,10.44,0.99619,Medium
red,10.24,0.571,0.135,4.39,0.0712,3.058,0.721,9.94,0.99797,Low
white,7.79,0.474,0.232,12.77,0.067,3.367,0.828,11.85,0.99565,High
white,5.69,0.219,0.342,,0.0383,3.084,0.498,11.08,0.99643,High
red,8.94,0.508,0.462,5.64,0.0678,3.196,0.685,9.53,0.99726,Low
white,7.94,0.36,0.377,5.92,0.0505,2.983,0.529,10.88,0.996,Medium
red,9.2,0.606,0.0,8.09,0.0806,3.205,0.651,11.28,0.99728,Low
red,9.26,0.486,0.387,,0.0682,3.027,0.595,8.2,0.99952,Low
white,7.4,0.184,0.243,,0.0798,3.023,0.271,9.43,0.99712,Low
white,6.92,0.402,0.364,6.43,0.046,3.184,0.506,10.78,0.99542,Medium
red,7.73,0.632,0.308,13.06,0.0817,3.359,0.71,8.38,0.99799,Low
red,6.31,0.512,0.287,3.42,0.074,3.266,0.498,8.55,0.99925,Low
white,7.37,0.381,0.298,7.82,0.0566,3.276,0.641,10.12,0.99801,Low
white,7.2,0.293,0.307,6.09,0.0685,3.181,0.552,10.92,0.99673,Medium
red,9.01,0.435,0.471,15.71,0.105,3.15,0.567,10.96,0.99474,Medium
red,6.93,0.623,0.308,6.91,0.0686,3.319,0.699,12.06,0.99588,High
white,7.71,0.379,0.44,10.16,0.0665,3.116,0.612,10.49,0.99779,Medium
red,10.66,0.569,0.423,3.56,0.0882,3.325,0.64,10.01,0.99721,Medium
red,8.49,0.67,0.39,2.06,0.0946,3.385,0.712,9.03,0.99971,Low
red,8.33,0.415,0.096,,0.0786,3.074,,10.0,0.99587,Low
